id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
gg-18k-white-or-rose-gold-plated-bauble-ring, Swarovski Elements Bauble Ring in 18K Gold-Plating by Jewelry Elements   , Swarovski Elements Bauble Ring in 18K Gold-Plating by Jewelry Elements   ,Swarovski Elements Bauble Ring ,open,groupon,featured,2017-04-20T06:59:59Z,2017-04-13T04:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Apparel & Accessories - Fashion Jewelry - Rings - Womens,Jewelry,rubique-jewelry,Swarovski Elements Bauble Ring in 18K Gold-Plating by Jewelry Elements,,,,,,,,,,
john-l-burch-dds-1,Dental Package from John L. Burch DDS (91% Off),91% Off Dental Package from John L. Burch DDS,Dental Package,open,groupon,extended,2041-05-31T06:59:59Z,2017-01-25T08:00:00Z,san-jose,San Jose,37.3394,-121.895,"Dental Checkup (Cleaning, X-Ray, Exam)",Dentistry & Dental Care,john-l-burch-dds,John L. Burch DDS,http://www.drburch.com/,120,Mountain View,505 South Drive,Ste 2,CA,Mountain View,Miramonte-Springer,94040,US
krispy-kreme-doughnuts-san-francisco-10,Original Glazed Doughnuts and Drinks at Krispy Kreme - Bay Area (Up to 51% Off). Three Options Available.,Up to 51% Off at Krispy Kreme - Six Bay Area Locations,Krispy Kreme Doughnuts,open,groupon,extended,2041-04-04T06:59:59Z,2016-11-29T08:00:00Z,napa-sonoma,Napa / Sonoma,38.4405,-122.714,Donut / Doughnut (Bakery & Dessert Parlor),Bakery & Desserts,golden-gate-doughnuts,Krispy Kreme,https://www.facebook.com/KKSanFranciscoBay/,180,Mountain View,2146 Leghorn St,,CA,Mountain View,Monta Loma-Farley-Rock,94043,US
atelier-salon-spa,$25 for $50 Worth of Hair-Salon Services from a Select Stylist at Atelier Salon ,Half Off Hair Services at Atelier Salon ,Hair-Salon Services,open,groupon,extended,2037-04-30T06:59:59Z,2012-12-24T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Hair Cuts & Styling,Salon - Haircut - Women,atelier-salon-spa,Atelier Salon,http://ateliersalon.com,90,Atelier SalonSpa,"378 Santana Row, Ste 1120",San Jose,CA,San Jose,Winchester,95128,US
ga-bk-hill-house-inn-mendocino,"Stay at The Hill House Inn Mendocino, CA. Dates into September.",Northern California B&B Overlooking the Pacific,B&B on Mendocino Coast,open,groupon,featured,2017-05-11T06:59:59Z,2017-04-13T07:00:00Z,napa-sonoma,Napa / Sonoma,38.4405,-122.714,Accommodation type,Hotel - Romantic - Outdoor,hill-house-inn-1,The Hill House Inn Mendocino,http://www.hillhouseinn.com/,,"Mendocino, CA",10701 Palette Drive,,CA,Mendocino,Rohnerville,95460,US
sky-high-sports-santa-clara-7,Two Hours of Jump Time Monday–Thursday at Sky High Sports (Up to 43% Off) ,Up to 43% Off Trampolining ,Trampolining ,open,groupon,extended,2040-10-29T06:59:59Z,2016-06-25T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Trampoline Park,Jumping,sky-high-sports-rancho-cordova,Sky High Sports,http://sjc.jumpskyhigh.com/,90,Sky High Sports Santa Clara,2880 Mead Ave,,CA,Santa Clara,East Murphy,95051,US
archery-only-2,Introductory Archery Lesson with Equipment and Practice Time for Two or Four at Archery Only (Up to 51% Off),Up to 51% Off Archery Lesson,Archery Lesson with Equipment,open,groupon,extended,2038-06-02T06:59:59Z,2014-01-27T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Archery - Training,Courses - Sports Training,archery-only,Archery Only,http://www.archeryonly.com,60,Newark,37300 Cedar Boulevard,,CA,Newark,Newark,94560,US
beauty-and-bliss-esthetics,One Brazilian Wax from Beauty and Bliss (52% Off)  ,52% Off Brazilian Wax,Brazilian Waxes,open,groupon,extended,2038-10-26T06:59:59Z,2014-06-22T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Waxing - Brazilian / Bikini,Hair Removal & Epilation,beauty-and-bliss-esthetics,Beauty and Bliss,http://www.beautyandblissesthetics.com,180,San Jose,1275 Lincoln Ave Willow Glen,Suite 14B,CA,San Jose,Willow Glen,95125,US
ga-bk-hotel-fusion-7,"Stay at Hotel Fusion in San Francisco, CA, with Dates into August",Boutique Hotel in Union Square,Boutique Union Square Hotel,open,groupon,featured,2017-05-09T06:59:59Z,2017-04-11T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Accommodation type,Hotel - City,hotel-fusion,Hotel Fusion,http://hotelfusionsf.com/,,"San Francisco, CA",140 Ellis St,,CA,San Francisco,Downtown San Francisco-Union Square,94102,US
loving-hut-3,$15 for $25 Worth of Pan-Asian Vegan Food at Loving Hut,$15 for Pan-Asian Vegan Food at Loving Hut Milpitas,Vegan Food - Loving Hut Milpitas,open,groupon,extended,2038-07-21T06:59:59Z,2014-03-17T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Eclectic Cuisine,Vegan Restaurant / Cuisine,loving-hut-milpitas,Loving Hut,http://lovinghut.us/milpitas/,180,Milpitas,516 Barber Ln.,,CA,Milpitas,Milpitas,95035,US
