id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
pura-vida-cocina-latina-and-sangria-bar-5,$49 for a Meal for Two at Pura Vida Cocina Latina & Sangria Bar (Up to $86.80 Value),44% Off Meal for Two at Pura Vida Cocina Latina & Sangria Bar,Meal for Two ,open,groupon,extended,2041-04-22T06:59:59Z,2016-12-17T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Caribbean & Latin American Cuisine,Latin American Cuisine,pura-vida-cocina-latina-and-sangria-bar,Pura Vida Cocina Latina & Sangria Bar,http://puravidalivermore.com,120,Downtown Livermore,2241 1st Street,,CA,Livermore,Downtown Livermore,94550,US
redwood-coast-cider-1,Two or Four Tasting Flights at Redwood Coast Cider (Up to 55% Off) ,55% Off Tasting Flights at Redwood Coast Cider,Tasting Flights ,open,groupon,extended,2041-02-17T07:59:59Z,2016-10-14T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Tasting - Other,Tastings,redwood-coast-cider,Redwood Coast Cider,http://redwoodcoastcider.com,120,Clearfield Park,821 Cherry Ln,,CA,San Carlos,Clearfield Park,94070,US
blue-apron-329-national-2,"Delivered Meals for Two or for a Family, with Shipping from Blue Apron (Up to 50% Off)   ",Up to 50% Off Healthy Meal Delivery,Blue Apron,open,groupon,extended,2041-07-05T06:59:59Z,2017-03-01T05:00:00Z,bakersfield,Bakersfield,35.3733,-119.019,Delivery Service,Online Grocery Delivery,blue-apron,Blue Apron,http://www.blueapron.com/,90,,,,,,,,
tablerunner-1-california,Fresh and Healthy Prepared Meal Subscription Boxes from TableRunner (Up to 50% Off)  ,Healthy Meal Subscription Boxes – Up to 50% Off,Healthy Meal Subscription Boxes,open,groupon,extended,2041-04-13T06:59:59Z,2016-12-08T08:00:00Z,bakersfield,Bakersfield,35.3733,-119.019,Subscriptions,Food - Prepared Subscription,table-runner,TableRunner,http://www.tablerunner.com,120,,,,,,,,
graze-com-usa-san-jose,Snack Subscription Service from graze (57% Off) ,57% Off Snack Box Deliveries – graze ,Healthy Snack Subscription,open,groupon,extended,2041-05-26T06:59:59Z,2017-01-20T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Snack Foods (Retail),Groceries,graze-1,Graze.com USA,http://www.graze.com/us,90,,,,,,,,
gobble-com-2,Six or Twelve Meals from Gobble (46% Off)       ,46% Off 10-Minute Meals Delivered from Gobble    ,10-Minute Meals Delivered,open,groupon,extended,2040-09-20T06:59:59Z,2016-05-17T06:00:00Z,bakersfield,Bakersfield,35.3733,-119.019,Grocery Delivery,Delivery Service,gobble-com,Gobble,http://www.gobble.com,90,,,,,,,,
three-guys-pies-1-1,"$11 for $20 Worth of Pizza, Pasta, and Sandwiches at Three Guys Pies ",45% Off at Three Guys Pies,"Pizza, Pasta, and Sandwiches ",open,groupon,extended,2040-09-28T06:59:59Z,2016-05-25T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Pizza Place,Traditional American Cuisine,three-guys-pies,Three Guys Pies,http://threeguyspies.net/,120,Three Guys Pies,46260 Warm Springs Boulevard,Suite 529,CA,Fremont,East Industrial,94539,US
wineo-101-3,Up to 58% Off Wine Class and Tasting at WineO 101 ,Up to 58% Off Wine Class and Tasting at WineO 101 ,Wine Class and Tasting,open,groupon,extended,2040-02-19T07:59:59Z,2015-10-15T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Restaurant Specialty - Wine Tasting / Flight,Tastings,wineo-101,WineO 101,http://www.wineo101.com,120,North Los Altos,181 Hillview Ave,,CA,Los Altos,North Los Altos,94022,US
mountain-mikes-pizza-campbell-1,$30 for Two Large Pizzas at Mountain Mike's Pizza ($53 Value),$23 Off Two Large Pizzas at Mountain Mike's Pizza,Pizza at Mountain Mike's Pizza,open,groupon,extended,2041-06-11T06:59:59Z,2017-02-05T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Pizza Place,Traditional American Cuisine,mountain-mikes-pizza-campbell,Mountain Mike's Pizza - Campbell,http://www.mountainmikes.com/,120,David-Rosemary,301 East Hamilton Avenue,,CA,Campbell,David-Rosemary,95008,US
blue-crab-trading-company-12-san-jose,Maryland Blue Crabs and Seafood from Blue Crab Trading Company (Up to 42% Off). Three Options Available.,Up to 42% Off Seafood from Blue Crab Trading Company ,Maryland Blue Crabs and Seafood,open,groupon,extended,2041-04-13T07:00:00Z,2016-12-12T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Seafood / Fresh Fish (Retail),Groceries,blue-crab-trading-co,Blue Crab Trading Company,http://www.bluecrabtrading.com/,90,,,,,,,,
snocream-shaved-snow-and-desserts-san-mateo,Shaved Snow and Other Treats at SnoCream Shaved Snow and Desserts (Up to 47% Off),47% Off at SnoCream Shaved Snow and Desserts,Shaved Snow and Desserts,open,groupon,extended,2041-02-24T07:59:59Z,2016-10-21T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Bakery & Desserts,Shave Ice (Bakery & Dessert Parlor),sno-cream-shaved-snow-and-desserts-san-mateo,SnoCream Shaved Snow and Desserts,https://www.facebook.com/snocream.sanmateo/,120,San Mateo,Woodlake Shopping Ctr,856 N Delaware St,CA,San Mateo,,94401,US
3-steves-winery,"Wine Tasting for Two, Four, or Six at 3 Steves Winery (Up to 62% Off)",Up to 62% Off Wine Tasting at 3 Steves Winery,Wine Tasting,open,groupon,extended,2041-05-19T06:59:59Z,2017-01-13T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Restaurant Specialty - Wine Tasting / Flight,Tastings,3-steves-winery-1,3 Steves Winery,http://www.3steveswinery.com,120,The Vineyards,5700 Greenville Road,,CA,Livermore,The Vineyards,94550,US
