id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
pacific-scuba-divers,Full NASE Certification Scuba Diving Course for One or Two at Pacific Scuba Divers (Up to 85% Off) ,Up to 85% Off Scuba Diving Course for at Pacific Scuba Divers,Scuba Diving Courses,open,groupon,extended,2041-06-13T06:59:59Z,2017-02-07T08:00:00Z,san-jose,San Jose,37.3394,-121.895,SCUBA Certification,Courses - Continuing Education,pacific-scuba-divers-1,Pacific Scuba Divers,http://www.pacificscubadivers.com/,120,Pacific Scuba Divers,1179 East Homestead Road,,CA,Sunnyvale,Birdland,94087,US
san-jose-state-volleyball-camps-1,Volleyball Camps at San Jose State Volleyball Camps (Up to 48% Off). Multiple Dates Available.,"Up to 48% Off at San Jose State Volleyball Camps
",Volleyball Camps,open,groupon,extended,2017-08-05T06:59:59Z,2017-03-11T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Camp,Camp - Sport,san-jose-state-volleyball-camps,San Jose State Volleyball Camps,http://www.sjsuspartans.com/,,Central San Jose,1393 South 7th Street,,CA,San Jose,Central San Jose,95112,US
gl-bubble-run-10,"Bubble Run 5K on Saturday, June 10, at 8 a.m.",Bubble Run – Up to 60% Off 5K,Bubble Run 5K,open,groupon,extended,2017-06-09T06:59:59Z,2017-03-03T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Races & Runs,Race - Color (Activity / Experience),blacklight-run-3,Bubble Run,http://bubblerun.com/upcoming-locations/san-jose-ca-2017/,,Santa Clara County Fairgrounds,344 Tully Rd,,CA,San Jose,South San Jose,95111,US
mother-lode-river-center-9,Weekday or Weekend Chili Bar Rafting Trip & Gold Rush Tour with Mother Lode River Center (Up to 48% Off),Up to 48% Off Rafting Trips,Rafting Trips,open,groupon,extended,2017-08-20T06:59:59Z,2016-11-18T08:00:00Z,fresno,Fresno,36.7477,-119.772,Watersports,White Water Rafting (Ride / Activity),mother-lode-river-center-2,Mother Lode River Center,http://www.malode.com/,,Lotus,6280 Golden Chain Highway,,CA,Lotus,Tamaroo Ridge,95651,US
tgif-farms-1,"One, Two, or Four 60-Minute Horseback-Riding Lessons at TGIF Farms (Up to 58% Off)",Up to 58% Off Horseback Riding at TGIF Farms,Horseback-Riding Lessons,open,groupon,extended,2041-06-09T06:59:59Z,2017-02-03T08:00:00Z,fresno,Fresno,36.7477,-119.772,Horse Back Riding - Recreational,Rides,tgif-farms,TGIF Farms,http://www.tgiffarms.com,120,Milipitas,80 Evans Road,,CA,Milipitas,Sunnyhills,95035,US
rooster-t-feathers-comedy-club-4-8,Standup Comedy at Rooster T. Feathers Comedy Club (Up to 64% Off),Up to 64% Off Standup Comedy,Standup Comedy,open,groupon,extended,2040-02-07T07:59:59Z,2015-10-01T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Comedy,Stand-up Show,rooster-t-feathers-comedy-club,Rooster T. Feathers Comedy Club,http://www.roostertfeathers.com,180,Rooster T. Feathers Comedy Club,157 W El Camino Real,,CA,Sunnyvale,,94087,US
gilroy-golf-course,"Golf with Cart, Range Balls, and Beer at Gilroy Golf Course (Up to 49% Off). Four Options Available.",Up to 49% Off at Gilroy Golf Course,Golf with Cart and Range Balls,open,groupon,extended,2041-01-23T07:59:59Z,2016-09-16T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Sports & Related,Golf - Recreational,gilroy-golf-course,Gilroy Golf Course,http://www.gilroygolfcourse.com/index.htm,120,Gilroy,2695 Hecker Pass Rd,,CA,Gilroy,Coyote,95020,US
skydiving-san-francisco-4,$119 for One Tandem Jump at Skydiving San Francisco ($269.99 Value),56% Off Tandem Skydive,Tandem Skydive,open,groupon,extended,2017-12-03T05:59:59Z,2016-07-12T05:00:00Z,modesto,Modesto,37.6391,-120.997,Flying,Parachuting / Skydiving - Tandem (Ride / Experience),skydiving-san-francisco,Skydiving San Francisco,http://www.skydiving-sanfrancisco.com/,,,,,,,,,
poppy-hills-golf-course-1-5,"Rounds of Golf in Pebble Beach, CA at Poppy Hills Golf Course (Up to 56% Off) ",Up to 56% Off at Poppy Hills Golf Course,"Golf in Pebble Beach, CA",open,groupon,extended,2017-06-01T06:59:59Z,2017-02-22T08:00:00Z,fresno,Fresno,36.7477,-119.772,Sports & Related,Golf - Recreational,poppy-hills-golf-course,Poppy Hills Golf Course,http://www.poppyhillsgolf.com/,,Pebble Beach,3200 Lopez Rd.,,CA,Pebble Beach,Skyline Forest,93953,US
safesplash-swim-school-24-san-francisco,"Swim-Class Packages for One, Two, Three, or Four Students at SafeSplash Swim School (Up to 69% Off).",Up to 69% Off Swim-Class Packages at SafeSplash Swim School ,Swim Class Packages ,open,groupon,extended,2041-03-15T06:59:59Z,2016-11-09T08:00:00Z,napa-sonoma,Napa / Sonoma,38.4405,-122.714,Swimming - Training,Courses - Sports Training,safe-splash-swim-school-8,SafeSplash Swim School,https://www.safesplash.com/,120,San Jose  - Newhall,610 Newhall Dr,A,CA,San Jose-Newhall,North San Jose,95110,US
